Account_ID,Account_Name,Industry,Country,DUNS,Owner
A183,Terra Holdings 33,Energy,United Kingdom,470838810,Amit
A184,Lumen Systems 34,Software,UK,203950725,Vikram
A185,Prime Retail 35,Retail,Singapore,874305759,Amit
A186,Lumen Group 36,Healthcare,Germany,,Neha
A187,Zen Energy 37,N/A,United States,802506364,Karthik
A188,Apex Systems 38,Healthcare,Singapore,492922240,Rahul
A189,Lumen Retail 39,Healthcare,SG,400347789,Priya
A190,Nova Labs 40,Healthcare,United States,254905897,Vikram
A191,Apex Tech 41,N/A,Singapore,259923818,Amit
A192,Terra Energy 42,Manufacturing,United Kingdom,461178244,Neha
A193,Orion Group 43,Healthcare,Singapore,,Karthik
A194,Terra Group 44,Energy,India,720230209,Rahul
A195,Vertex Holdings 45,Energy,Singapore,258672959,Sneha
A196,Terra Systems 46,Software,India,841419015,Neha
A197,Blue Retail 47,Energy,India,285953213,Divya
A198,Delta Health 48,Retail,Singapore,420511037,Karthik
A199,Zen Group 49,Healthcare,United Kingdom,874881231,Priya
A200,Lumen Labs 0,Software,Singapore,963949678,Rahul
A201,Nova Energy 1,Energy,United Kingdom,316968866,Karthik
A202,Orion Holdings 2,Energy,Singapore,819228743,Sneha
A203,Apex Systems 3,Energy,United States,247604106,
A204,Blue Labs 4,Software,Singapore,408427014,Rahul
A205,Terra Retail 5,Energy,India,,Vikram
A206,Apex Labs 6,Retail,United States,410812797,Rahul
A207,Terra Systems 7,Healthcare,United Kingdom,683364453,Amit
A208,Vertex Health 8,Banking,Singapore,796091085,Amit
A209,Delta Health 9,Retail,IN,653278397,Vikram
A210,Blue Holdings 10,Retail,IN,909340042,Divya
A211,Terra Tech 11,Healthcare,United Kingdom,,Karthik
A212,Prime Health 12,Energy,United States,759949050,Amit
A213,Blue Group 13,Manufacturing,Germany,605547798,Sneha
A214,Terra Systems 14,Manufacturing,United States,,Rahul
A215,Lumen Retail 15,Retail,SG,,Neha
A216,Lumen Group 16,Software,IN,161994392,Karthik
A217,Prime Health 17,Energy,India,,Priya
A218,Apex Systems 18,Software,SG,245415636,Vikram
A219,Prime Group 19,Software,United Kingdom,810594320,Amit
A220,Nova Holdings 20,Software,United Kingdom,339111798,Rahul
A221,Vertex Labs 21,Retail,United Kingdom,395976645,Priya
A222,Prime Tech 22,Banking,india,821579885,Rahul
A223,Apex Labs 23,Manufacturing,United States,160606325,Karthik
A224,Terra Energy 24,Energy,United States,253824712,Sneha
A225,Orion Health 25,Misc,Germany,632168774,Divya
A226,Lumen Energy 26,Software,DE,677596076,Sneha
A227,Blue Group 27,Manufacturing,United Kingdom,669074377,Sneha
A228,Zen Energy 28,Software,United Kingdom,,Sneha
A229,Orion Labs 29,Manufacturing,india,917865301,Sneha
A230,Zen Energy 30,Banking,Germany,896152940,Neha
A231,Terra Retail 31,Retail,United States,508732434,Divya
A232,Orion Energy 32,Software,United Kingdom,875685667,Divya
A233,Delta Energy 33,Manufacturing,United States,117415986,Vikram
A234,Blue Retail 34,Software,United Kingdom,691247918,Divya
A235,Vertex Group 35,Energy,United Kingdom,873430762,Amit
A236,Apex Tech 36,Banking,Singapore,920702588,
A237,Zen Systems 37,Banking,United States,164907817,Neha
A238,Apex Tech 38,Software,DE,407829477,
A239,Blue Systems 39,Manufacturing,germany,371031968,Karthik
A240,Nova Energy 40,Software,Germany,342512383,Priya
A241,Nova Labs 41,Manufacturing,India,854674236,Neha
A242,Delta Systems 42,Banking,Germany,843338269,Neha
A243,Apex Systems 43,Healthcare,United Kingdom,135328023,Divya
A244,Zen Holdings 44,Energy,India,421346113,Sneha
A245,Prime Energy 45,Energy,SG,471363809,Vikram
A246,Nova Energy 46,Manufacturing,United States,930598266,Karthik
A247,Vertex Retail 47,Software,Germany,809391059,Karthik
A248,Nova Systems 48,Software,United States,894198823,Divya
A249,Nova Tech 49,Software,India,242278314,Vikram
A250,Lumen Labs 0,Banking,Germany,,Divya
A251,Apex Health 1,Banking,Germany,360642799,Amit
A252,Blue Holdings 2,Healthcare,Germany,,Vikram
A253,Vertex Systems 3,Retail,United Kingdom,762143074,Priya
A254,Orion Tech 4,Healthcare,United States,453842723,Vikram
A255,Blue Health 5,Energy,Singapore,527606494,Karthik
A256,Terra Retail 6,Healthcare,Germany,222286118,Sneha
A257,Lumen Holdings 7,Manufacturing,SG,325108249,Karthik
A258,Prime Group 8,Healthcare,India,867979226,Vikram
A259,Vertex Group 9,Manufacturing,India,842716738,Rahul
A260,Lumen Systems 10,Retail,United Kingdom,794710793,Vikram
A261,Prime Systems 11,N/A,United Kingdom,699140867,Sneha
A262,Delta Labs 12,Energy,Germany,470405910,Neha
A263,Orion Labs 13,Banking,india,468365044,Sneha
A264,Vertex Energy 14,Software,Singapore,172127903,Priya
A265,Delta Systems 15,Retail,India,654044237,Amit
A266,Lumen Labs 16,Retail,United Kingdom,300131434,Vikram
A267,Apex Retail 17,Software,Germany,320959407,Priya
A268,Nova Holdings 18,Retail,Singapore,625579419,Divya
A269,Prime Labs 19,Healthcare,Singapore,285250002,Karthik
A270,Terra Systems 20,Healthcare,SG,,Amit
A271,Prime Labs 21,Manufacturing,Singapore,782364690,Amit
A272,Blue Group 22,Retail,Singapore,157564650,Rahul
A273,Blue Retail 23,Manufacturing,Germany,835187452,Neha
A274,Blue Systems 24,Retail,Germany,677252858,Neha
A275,Vertex Systems 25,Healthcare,Singapore,493914829,Rahul
A276,Lumen Retail 26,Banking,Germany,365785059,Rahul
A277,Orion Energy 27,Banking,Germany,932828137,Sneha
A278,Delta Labs 28,Retail,Singapore,964835149,Divya
A279,Orion Holdings 29,Energy,Singapore,652348887,Priya
A280,Prime Tech 30,Energy,USA,863854401,Sneha
A281,Vertex Holdings 31,Healthcare,Germany,181084980,Priya
A282,Lumen Health 32,Healthcare,Germany,724870012,
A283,Vertex Energy 33,Manufacturing,India,985673417,Karthik
A284,Orion Energy 34,Retail,United Kingdom,469087606,Rahul
A285,Nova Group 35,Misc,India,,Sneha
A286,Orion Holdings 36,Healthcare,US,499264207,Amit
A287,Prime Health 37,Retail,India,,Sneha
A288,Nova Holdings 38,Manufacturing,Germany,,Priya
A289,Blue Group 39,Software,germany,,Karthik
A290,Prime Holdings 40,Energy,USA,276218805,Sneha
A291,Prime Group 41,Banking,United States,232239057,Vikram
A292,Prime Energy 42,Retail,United Kingdom,,Karthik
A293,Orion Retail 43,Manufacturing,IN,158593156,Sneha
A294,Prime Systems 44,Energy,Germany,112956853,Divya
A295,Prime Labs 45,Energy,US,927175323,Priya
A296,Orion Retail 46,Misc,India,407613928,Vikram
A297,Prime Systems 47,Manufacturing,Germany,432759989,Sneha
A298,Lumen Energy 48,Energy,United States,790581965,Vikram
A299,Apex Retail 49,Software,USA,896387342,Amit
A300,Apex Holdings 0,Retail,India,655363795,Karthik
A301,Delta Holdings 1,Healthcare,United States,,Divya
A302,Orion Systems 2,Manufacturing,Germany,648447868,Neha
A303,Blue Energy 3,Banking,Singapore,223838514,Rahul
A304,Apex Retail 4,N/A,India,137971349,Vikram
A305,Delta Retail 5,Energy,United States,713682070,Rahul
A306,Zen Tech 6,Banking,United States,930568802,Divya
A307,Lumen Group 7,Misc,India,894113665,Neha
A308,Terra Group 8,Retail,United Kingdom,954670083,Rahul
A309,Apex Retail 9,Energy,Germany,459722166,
A310,Orion Systems 10,Retail,Germany,252872361,Priya
A311,Zen Labs 11,Healthcare,India,723597716,Amit
A312,Nova Tech 12,Retail,Germany,438238241,Vikram
A313,Delta Group 13,Banking,United Kingdom,926938633,Amit
A314,Blue Group 14,Software,IN,322947698,Neha
A315,Nova Systems 15,Energy,United Kingdom,747791119,Divya
A316,Nova Retail 16,Software,United States,379351967,Amit
A317,Prime Group 17,Manufacturing,India,963177562,Priya
A318,Apex Retail 18,Software,India,792225271,Karthik
A319,Apex Systems 19,Energy,India,990514408,Priya
A320,Vertex Tech 20,Manufacturing,India,632711663,
A321,Blue Energy 21,Retail,Germany,259591761,Sneha
A322,Vertex Labs 22,Software,UK,550149967,Sneha
A323,Apex Labs 23,Healthcare,Singapore,469403820,Divya
A324,Orion Holdings 24,Misc,DE,,Divya
A325,Zen Holdings 25,Energy,Singapore,949584483,Rahul
A326,Terra Labs 26,Retail,US,849070816,Rahul
A327,Terra Holdings 27,Retail,United Kingdom,628524423,Amit
A328,Apex Systems 28,Misc,DE,,Sneha
A329,Delta Holdings 29,Healthcare,USA,252098390,Divya
A330,Delta Labs 30,Healthcare,India,269118504,Vikram
A331,Delta Holdings 31,Manufacturing,Germany,945026004,Amit
A332,Orion Health 32,Energy,DE,927672827,Rahul
A333,Terra Energy 33,Manufacturing,United States,632774653,Priya
A334,Delta Energy 34,Banking,United States,883064819,Neha
A335,Orion Retail 35,Banking,India,873538202,
A336,Vertex Labs 36,Software,Germany,686288768,Neha
A337,Zen Holdings 37,Banking,Singapore,212447665,Amit
A338,Blue Systems 38,Banking,Germany,618334675,Vikram
A339,Terra Labs 39,Banking,United States,539460908,Karthik
A340,Orion Retail 40,Software,United Kingdom,264915937,Rahul
A341,Nova Health 41,Energy,Germany,127633490,Karthik
A342,Vertex Systems 42,Software,India,384546308,Vikram
A343,Delta Labs 43,Software,US,342925794,Rahul
A344,Nova Systems 44,Manufacturing,United States,344289964,Vikram
A345,Prime Group 45,Retail,Singapore,,Rahul
A346,Terra Holdings 46,Software,SG,968078090,Rahul
A347,Nova Labs 47,Energy,DE,880720904,Priya
A348,Prime Labs 48,Healthcare,India,113275526,Vikram
A349,Prime Holdings 49,Manufacturing,India,207593219,Priya
A350,Lumen Energy 0,Healthcare,United Kingdom,753868135,Amit
A351,Prime Holdings 1,Energy,United Kingdom,,Divya
A352,Apex Group 2,Healthcare,US,627872109,Priya
A353,Blue Health 3,Software,United States,882542411,Priya
A354,Vertex Retail 4,Software,United States,501483027,Amit
A355,Orion Labs 5,Manufacturing,India,,Sneha
A356,Zen Tech 6,Healthcare,India,984233149,Vikram
A357,Apex Retail 7,Manufacturing,India,609578849,Divya
A358,Blue Health 8,Energy,UK,274920492,Sneha
A359,Zen Retail 9,Software,United States,924174943,Neha
A360,Blue Tech 10,Manufacturing,United States,861678303,Vikram
A361,Delta Group 11,Software,Germany,769591945,Priya
A362,Lumen Energy 12,Manufacturing,India,216076355,Divya
A363,Delta Health 13,Energy,United Kingdom,302250101,Sneha
A364,Terra Labs 14,Energy,india,417403063,Vikram
A365,Prime Tech 15,Manufacturing,Germany,865974442,Neha
A366,Lumen Health 16,Energy,United Kingdom,204800493,Karthik
A367,Blue Energy 17,Retail,Singapore,429730298,Divya
A368,Orion Health 18,Banking,United Kingdom,726608478,Priya
A369,Zen Systems 19,Software,Germany,261897130,Sneha
A370,Prime Group 20,Energy,UK,777566277,Divya
A371,Apex Group 21,Retail,India,943113786,Priya
A372,Terra Labs 22,Software,United States,105013454,Sneha
A373,Apex Energy 23,Manufacturing,UK,367171793,Divya
A374,Blue Systems 24,Manufacturing,United Kingdom,,Karthik
A375,Lumen Energy 25,Energy,Germany,626325353,Sneha
A376,Prime Tech 26,Energy,United States,123529192,Amit
A377,Delta Tech 27,Energy,India,152169850,Rahul
A378,Apex Tech 28,Software,India,371375678,Amit
A379,Apex Health 29,Banking,United States,750294914,Vikram
A380,Lumen Systems 30,Banking,India,935327024,Sneha
A381,Prime Health 31,Manufacturing,United Kingdom,616108982,Rahul
A382,Nova Systems 32,Energy,India,937009907,Priya
A383,Zen Group 33,Healthcare,United Kingdom,,Rahul
A384,Delta Energy 34,Banking,UK,,Amit
A385,Delta Group 35,Healthcare,United Kingdom,,Amit
A386,Prime Labs 36,Healthcare,India,613511668,Amit
A387,Blue Tech 37,Retail,IN,828419083,Vikram
A388,Terra Tech 38,Energy,United Kingdom,624117847,Vikram
A389,Apex Systems 39,Healthcare,germany,819239897,Priya
A390,Zen Group 40,Energy,Germany,987380851,Rahul
A391,Blue Group 41,Retail,IN,455295629,Rahul
A392,Zen Labs 42,Retail,SG,581142194,Neha
A393,Delta Systems 43,Energy,Germany,,Rahul
A394,Terra Health 44,Manufacturing,India,465989408,Rahul
A395,Vertex Energy 45,Manufacturing,United States,490084550,Priya
A396,Zen Tech 46,Energy,India,660477218,Priya
A397,Blue Group 47,Energy,India,373041065,Sneha
A398,Prime Retail 48,Retail,India,,Priya
A399,Vertex Holdings 49,Banking,Germany,,Neha
A400,Blue Holdings 0,Retail,SG,513028367,Sneha
A401,Prime Energy 1,Software,United Kingdom,746955700,Karthik
A402,Delta Retail 2,Manufacturing,Singapore,821955780,Amit
A403,Lumen Energy 3,Healthcare,Singapore,816354624,Karthik
A404,Apex Systems 4,Misc,germany,905505027,Karthik
A405,Blue Tech 5,Healthcare,United Kingdom,485132332,Priya
A406,Lumen Retail 6,Manufacturing,Singapore,955593612,Karthik
A407,Prime Labs 7,Energy,India,113921319,Sneha
A408,Vertex Retail 8,Energy,Singapore,731773948,Sneha
A409,Orion Group 9,Energy,USA,228155179,Vikram
A410,Lumen Health 10,Manufacturing,United Kingdom,,Amit
A411,Blue Energy 11,Energy,India,626725060,Divya
A412,Delta Retail 12,Manufacturing,india,676637967,Divya
A413,Zen Energy 13,Healthcare,United States,669618855,Rahul
A414,Delta Group 14,Energy,India,142817871,Divya
A415,Nova Labs 15,Energy,Germany,982732880,Neha
A416,Apex Health 16,Retail,Germany,,Rahul
A417,Zen Retail 17,Software,India,989862107,Vikram
A418,Blue Tech 18,Healthcare,india,,Priya
A419,Zen Health 19,Software,Singapore,118136542,Priya
A420,Apex Systems 20,Manufacturing,SG,639917068,Karthik
A421,Nova Health 21,Software,Singapore,133091814,Sneha
A422,Prime Health 22,Retail,United States,953643130,Divya
A423,Lumen Holdings 23,Banking,India,687900972,Karthik
A424,Delta Retail 24,Energy,United States,297560682,Karthik
A425,Nova Holdings 25,Manufacturing,United States,689324397,Priya
A426,Nova Health 26,Energy,United Kingdom,483474399,Sneha
A427,Orion Systems 27,Healthcare,India,808049250,Amit
A428,Terra Energy 28,Software,SG,337861414,Vikram
A429,Delta Holdings 29,Healthcare,United Kingdom,485195859,Neha
A430,Nova Holdings 30,Banking,Singapore,250325647,Sneha
A431,Nova Systems 31,Manufacturing,United Kingdom,721589989,Sneha
A432,Lumen Health 32,Manufacturing,India,492794766,Karthik
A433,Vertex Systems 33,Manufacturing,USA,966015789,Amit
A434,Blue Group 34,Manufacturing,Singapore,256980036,Neha
A435,Apex Retail 35,Retail,UK,817888322,Divya
A436,Vertex Group 36,Banking,Germany,855631043,Karthik
A437,Terra Holdings 37,Software,United Kingdom,997078087,Karthik
A438,Zen Labs 38,Healthcare,Germany,748766605,
A439,Vertex Holdings 39,Manufacturing,United States,300688440,Priya
A440,Prime Energy 40,Software,United States,734356903,Vikram
A441,Zen Tech 41,Manufacturing,india,257695200,Karthik
A442,Lumen Labs 42,Manufacturing,United States,881656471,Karthik
A443,Zen Group 43,Software,India,991596102,Amit
A444,Blue Health 44,Energy,Singapore,734147620,Vikram
A445,Blue Systems 45,N/A,Germany,290505619,Rahul
A446,Lumen Systems 46,Energy,SG,932010779,Vikram
A447,Prime Energy 47,Energy,Singapore,961463274,Vikram
A448,Terra Systems 48,Healthcare,United Kingdom,189998443,Vikram
A449,Zen Tech 49,Banking,United Kingdom,,
A450,Delta Labs 0,Retail,United States,380571840,Vikram
A451,Delta Health 1,Software,Singapore,941586401,Amit
A452,Lumen Group 2,Healthcare,United Kingdom,527488567,Priya
A453,Vertex Holdings 3,Manufacturing,United States,691176704,Rahul
A454,Prime Tech 4,Retail,United States,194640346,Sneha
A455,Nova Tech 5,Software,United Kingdom,864080940,Rahul
A456,Vertex Group 6,N/A,USA,823728171,Sneha
A457,Blue Systems 7,Software,India,729298787,Rahul
A458,Nova Health 8,Manufacturing,India,975652436,Sneha
A459,Prime Tech 9,Software,Germany,640273782,Priya
A460,Orion Health 10,Software,Singapore,913330750,Neha
A461,Terra Tech 11,Healthcare,germany,346885603,Vikram
A462,Lumen Tech 12,Healthcare,United Kingdom,,Divya
A463,Lumen Holdings 13,Healthcare,India,296263306,Sneha
A464,Zen Retail 14,Healthcare,Germany,368108429,Divya
A465,Nova Systems 15,Energy,United States,107112115,Rahul
A466,Delta Energy 16,Manufacturing,Germany,920620417,Karthik
A467,Zen Holdings 17,N/A,Germany,639528648,Amit
A468,Nova Group 18,Banking,germany,208177158,Karthik
A469,Lumen Health 19,Software,United States,297475805,Sneha
A470,Delta Energy 20,Healthcare,Germany,718360105,Priya
A471,Zen Labs 21,Retail,UK,110460711,Neha
A472,Lumen Energy 22,Healthcare,United States,151227475,Amit
A473,Zen Health 23,Energy,IN,486876247,Karthik
A474,Apex Labs 24,Energy,United Kingdom,718361962,Amit
A475,Delta Energy 25,Software,United Kingdom,184189438,Karthik
A476,Blue Holdings 26,Healthcare,Germany,534621392,Priya
A477,Blue Energy 27,Healthcare,India,750027161,Karthik
A478,Delta Group 28,Retail,Germany,351929030,Priya
A479,Blue Labs 29,Banking,United States,157794625,
A480,Lumen Systems 30,Manufacturing,DE,365639987,Neha
A481,Blue Holdings 31,N/A,United States,611267257,Karthik
A482,Vertex Holdings 32,Energy,Singapore,590209766,Vikram
A483,Lumen Health 33,Software,Singapore,574443895,Vikram
A484,Blue Health 34,Misc,United Kingdom,108930425,Neha
